mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,label
-391.8252,86.733055,21.75606,13.757183,9.030744,12.091555,12.048173,0.36570874,1.7376573,5.4751897,-5.656949,-6.118983,-5.5719476,-4.7571483,-3.2884645,-0.07131161,-0.12842578,-6.0779266,-2.4412115,-3.0305367,buka
-219.55458,95.143524,23.050543,11.27375,12.111441,7.2538767,12.820862,-2.0456984,-0.2795058,7.2768064,-7.029059,-7.047171,-9.19152,-6.422854,-3.832167,-0.06807582,-3.157759,-4.7529917,-6.085726,-4.260391,buka
-231.49965,95.491196,21.78669,16.874832,9.731382,10.7662325,14.763392,2.3153365,0.4828452,3.2605042,-6.200699,-1.7126042,-7.362328,-1.6833941,-0.3366808,-2.1630065,-2.2623572,-2.6849759,-4.889982,-5.064355,buka
-239.90352,93.402954,20.391285,14.796158,7.593359,8.971307,12.700639,-0.08105777,0.0014423957,4.2892537,-6.7811017,-2.9793773,-8.099751,-2.4107003,-0.21125925,-2.0338569,-2.7437444,-4.011409,-4.7664046,-5.796066,buka
-239.52228,96.24301,13.798207,11.316676,9.502037,7.641552,16.703917,0.59138685,-1.3142829,5.2974663,-8.986366,-1.3696989,-7.2023935,-7.7265234,0.5046004,-3.0005393,-4.273159,-3.4249082,-4.315732,-7.084563,buka
-259.80292,96.80133,19.465597,11.098683,9.829651,7.9384923,14.170372,3.087037,-1.173308,6.899849,-4.0680227,-7.8123565,-8.402834,-4.8598046,-2.2912722,-1.9980553,-1.0134645,-3.0058246,-5.0927253,-4.7527666,buka
-206.38766,96.359825,23.984728,12.084601,10.7318125,13.319318,15.112576,0.8856103,3.225643,2.8383245,-6.4283295,-4.5903444,-7.86277,-3.5818188,-0.5638733,-2.287459,-1.0595628,-2.297862,-5.3780546,-2.2412007,buka
-225.2708,100.695435,23.326643,14.003166,11.063984,11.449078,12.317156,1.7508847,0.6332656,3.6387193,-9.735155,-4.532401,-8.012664,-4.084315,-0.13949202,-1.765459,-2.9788146,-2.4822242,-5.305709,-3.8664231,buka
-255.02707,97.6062,23.150482,16.01114,9.950019,10.440307,14.001793,-0.31459963,1.017285,4.1422873,-6.80619,-5.2452965,-5.953455,-4.4418464,-1.102192,-0.83612335,-4.0433154,-2.2168088,-6.361521,-3.7254648,buka
-226.85788,97.7,26.266157,15.407944,10.567174,10.732785,13.3200865,-0.1442315,-1.0202521,4.4873137,-4.3546853,-0.45875242,-7.922656,-3.5714445,0.046088982,-4.6920633,-4.1640244,-1.152553,-4.7375326,-5.8481774,buka
-238.1061,96.16849,26.875565,13.989244,9.889541,12.501185,12.44533,1.6174741,-1.1506815,2.243732,-4.54759,-1.8452233,-6.9920936,-5.810457,-0.9601081,-2.7534256,-2.466164,-1.180166,-5.4574976,-7.0119905,buka
-306.35767,100.58802,22.762596,10.812809,4.4237704,5.6489005,11.493241,0.25747505,2.2405665,5.489184,-17.377548,-11.61783,-3.8355267,-8.821774,-1.444504,4.66501,-2.9748,-7.277238,1.9698292,-9.324551,buka
-276.49512,105.91864,31.158445,18.032808,8.442829,10.075072,8.170895,-5.9085555,-3.1485527,2.4208252,-14.44332,-6.344223,-2.108422,-8.405421,2.304015,0.7581906,-4.556585,-7.0129232,-3.6885452,-8.759507,buka
-280.6649,90.77886,23.139153,19.188356,12.853876,10.61618,8.657458,3.5669315,3.263587,2.6751478,-15.0925455,-4.1402965,-3.8735266,-5.1056876,1.9125326,0.851182,-2.6801836,-4.3978553,-3.8678722,-6.4049954,buka
-208.57275,90.27926,21.557137,12.722618,8.369876,8.167617,9.113833,1.7563292,5.376673,3.571614,-18.597225,-3.64448,-4.8693113,-4.8477635,0.5265291,1.1581911,-6.2712812,-6.5941677,-0.40447295,-6.880535,buka
-219.85619,96.863106,27.102007,13.943743,8.462818,10.97838,16.09481,3.814714,0.5941563,4.3799887,-14.40482,-8.72885,-6.6800203,-1.2815312,-2.9704406,2.4672055,-0.7601932,-4.895227,-2.2669177,-2.1522496,buka
-270.71286,93.936516,28.005377,14.010068,13.83851,13.903211,14.729804,-0.6781268,0.3912528,6.6259017,-9.773416,-3.6742065,-7.2678595,-2.0527413,-2.5359588,-0.11156727,-2.5178645,-2.1986332,-6.4274883,-2.6267068,buka
-202.31502,100.06044,30.98032,16.886278,11.841215,13.949678,17.418507,1.3315375,4.549335,3.0204487,-9.889313,-4.4822736,-9.557188,-2.3930533,-1.4103285,-3.4178205,-1.972025,-1.7369585,-5.6297097,-3.8035202,buka
-252.3795,97.28422,30.778048,14.504982,10.507651,12.996932,16.574001,0.541843,1.5388068,6.086408,-10.33413,-5.5816884,-6.3411255,-1.8970925,-2.5986357,-1.7369859,-3.4432907,-3.6691215,-7.055602,-2.5970721,buka
-251.62468,101.559784,24.6992,13.004522,7.254854,9.419772,13.42811,-0.70037615,2.0721931,4.777602,-9.976739,-5.1506424,-7.6121235,-2.002569,-2.026832,-2.2524805,-2.1836126,-2.3149238,-4.488481,-3.280201,buka
-228.94084,95.1641,27.918499,16.303251,13.045079,14.003162,17.627918,1.4023142,1.350756,5.351278,-9.036903,-2.0799704,-4.593008,-0.29472345,0.9466827,0.16463646,-0.7989814,-0.8279333,-4.11032,-4.316703,buka
-232.277,91.26553,27.591148,16.315674,19.794369,16.795473,12.13651,4.3634953,-1.3242531,2.6595883,-3.690252,-2.3316438,-3.5826933,-0.7564384,-0.18553153,2.7225955,0.049556088,-2.6509478,-4.216172,-1.3766878,buka
-259.36575,91.05993,33.062374,12.903649,16.195927,9.90292,14.393175,1.8927176,-0.2025843,6.2012405,-5.1755314,-8.03648,-5.0983424,-2.7537177,-3.5642056,-0.8895953,-2.843163,-3.5725863,-3.442504,-1.3952214,buka
-164.1774,98.55241,13.022294,30.483732,12.303566,8.486493,6.760874,5.9566913,-3.6055312,5.6343513,-3.7715409,-1.4533768,0.33355236,-0.9730123,3.694945,4.7249794,-1.3902895,2.4179497,-3.0538018,2.3262649,buka
-283.03702,93.277275,17.031649,8.846121,11.364265,7.9300857,13.549386,2.052924,-3.7617798,6.6035695,-5.258367,-8.14772,-10.619184,-6.155068,2.5726588,-2.5938227,-4.599526,1.0453712,-5.2550097,-6.375816,buka
-198.71687,90.40637,26.901615,12.370517,11.683475,13.188826,18.22092,-2.5203085,1.4805471,4.487158,-8.545171,-3.1687553,-6.6487675,-2.673258,4.3879848,-3.0793436,-3.921862,-1.2664472,-4.966529,-3.999485,buka
-189.26123,93.66084,29.551508,12.807651,11.852872,2.844591,19.97957,-2.2983408,-5.114066,4.69724,-6.714517,-3.2734473,-8.231547,-5.8312654,2.539076,-2.8783765,-5.955597,-0.31491747,-6.320481,-7.4399357,buka
-188.75183,97.10245,20.714575,21.954105,10.973936,8.343374,14.179409,-5.2255526,-2.89969,3.495935,-8.760831,-1.404724,-6.4230123,-3.3992343,-0.28086185,-3.3407462,-4.8573866,-4.7613974,-6.5946655,-0.052362338,buka
-197.28339,95.44409,28.016361,16.471834,7.7880745,0.78150594,18.161242,0.5829532,-0.91828835,5.7860045,-10.53228,-1.5433089,-9.673623,-7.1621933,6.1220465,0.5488825,-5.067176,0.86080956,-7.419629,-5.898769,buka
-255.31006,94.1544,25.984058,9.9792185,8.274556,7.314698,16.32118,2.1529632,-3.6829603,2.9692185,-10.19194,4.1270847,-6.226349,-9.548088,-0.9396267,-3.2118812,-2.2877872,0.4817542,0.1957362,-6.500681,buka
-273.34534,85.31322,29.093065,12.905969,5.267854,8.605074,15.851998,3.165105,-5.989643,3.3536367,-12.193517,3.0598981,-5.7803464,-6.4382744,-1.9641078,-3.8826427,-1.6889707,-1.2119343,-0.31147146,-3.372744,buka
-235.19484,86.80864,34.53443,18.135885,13.15697,10.985534,12.227549,3.832411,-2.5124767,-0.34607977,-14.052672,-2.8086956,-4.732911,-8.213593,-0.9901271,-1.6580664,-4.942048,0.4129568,-3.1048658,-0.657408,buka
-206.6161,97.21011,23.798132,17.086378,10.504461,10.501696,15.412551,1.7560313,-5.2374234,-0.69736844,-11.526174,0.36444098,-4.32325,-8.120411,-1.2393757,-5.0048113,-3.0433998,-0.14186475,0.84573925,-1.7688806,buka
-179.84766,101.844315,24.284576,9.543778,7.507505,13.935629,17.190588,0.0014024294,-1.3100573,-3.7937832,-13.843169,-1.7722926,-7.225413,-5.8559775,-4.0102053,-4.278399,1.2794304,-2.7595406,-3.7362275,-3.2410822,buka
-227.76617,94.63752,24.480268,11.324579,10.629659,16.753536,15.266011,3.1814299,-2.973018,-0.31797627,-9.585292,-2.4540277,-6.021102,-2.1657333,-2.7890782,-3.939664,-0.5491405,-3.223548,-4.089701,-3.4797044,buka
-237.98587,83.468445,32.57833,19.02098,14.289418,11.010763,12.362096,3.6311922,-0.92812115,0.68687075,-9.201322,-0.47917175,-2.2606564,-4.2059216,-2.0349524,-1.2780662,-4.8969474,-0.55459094,-3.9775944,-1.622894,buka
-183.46765,112.347755,26.649067,14.077061,-0.86019105,6.3508697,11.6261215,3.650203,-4.283312,3.0295882,-12.105988,-7.5356956,-2.66402,-11.656926,-1.550783,0.3972417,-4.42442,0.9382476,1.8720012,-3.0661397,buka
-218.953,102.60766,28.314388,15.15136,10.896097,10.448159,12.904858,0.45597875,-4.396181,2.074777,-8.764848,-4.066003,-1.837211,-7.3876443,-3.595219,-3.2791002,-3.0154276,-1.772619,-0.7055043,-3.839833,buka
-265.67188,100.59479,31.45956,17.590685,10.996255,7.2907724,10.054392,1.9140707,-3.6661496,0.4038506,-9.5473,-3.045555,-4.612451,-7.5085783,-3.7230735,-2.7208302,-3.9966383,-1.07291,-2.019254,-1.8074611,buka
-265.10928,98.62935,26.380236,24.265785,14.79081,8.532552,9.557993,-4.484777,0.46889493,1.9483895,-9.219202,1.2282954,-5.4529157,-9.171558,-5.190262,1.2432222,-7.3303833,-4.9237995,-0.20893544,-3.75741,buka
-254.42166,97.27506,29.904228,19.008358,8.502569,9.011157,16.220482,4.1755166,-4.5732737,6.713737,-9.120854,-4.5890775,-9.340668,-7.837924,-1.0528004,-2.9527094,-3.2136924,-1.4552492,-5.094326,-3.2793553,buka
-293.9596,90.4222,37.9729,23.803001,13.977203,11.11866,12.966019,7.3491626,0.2524785,5.3986964,-11.185003,-3.8858423,-3.8112948,-0.4155088,3.8751786,-0.08845504,-4.8584247,-0.1537445,-3.8082182,-2.05772,buka
-257.46695,87.960106,41.03483,22.150782,17.65031,12.057766,12.939126,8.403321,5.225197,3.0052605,-6.8419156,-1.7217349,-4.620942,-0.62943256,1.0822489,1.5451459,-3.8955052,-1.653181,-3.8862731,-1.0996827,buka
-200.0743,88.69648,26.499514,14.571659,13.5211115,14.227402,13.7924385,-0.21224229,1.6753352,3.3560638,-4.329929,-1.9570743,-6.0336194,-3.9419978,-1.331736,1.5338516,-2.5940375,-2.9688041,-4.0486135,-3.0696018,buka
-237.26286,96.09235,27.361166,15.6925,12.966887,11.569683,14.802764,0.8142597,0.3671339,3.6716056,-7.108138,-3.3381767,-4.0280066,-2.0482397,-0.90108186,-1.3943865,-3.0776548,-2.9680116,-4.8199844,-0.56754035,buka
-283.37833,97.367256,27.78231,16.815876,10.693146,12.269928,13.56302,-0.3460667,0.72884077,6.167352,-8.51499,-4.1958027,-7.591278,-3.7719867,-1.8939654,-1.2821993,-2.7495096,-3.0023735,-2.3134782,-2.2150238,buka
-266.24216,85.60669,23.615103,13.078889,17.090366,7.4345236,13.054524,5.6643534,-0.18488024,7.10252,-2.772353,-4.228061,-2.4131773,-3.269442,-2.6625383,-3.8160303,-3.5106502,-3.1016603,-3.7822082,-1.8333563,buka
-269.95804,94.10221,26.467083,17.518906,12.993907,7.195715,10.884171,3.72493,2.873156,5.735987,-2.1209447,-5.5749555,-6.9374394,-1.5460508,-0.29461312,-0.560262,-3.448023,-3.1273456,-2.2848783,-1.8745958,buka
-227.90985,93.408554,21.994167,18.289707,9.089824,9.996235,15.019846,-0.8194478,-0.8491794,6.612975,-1.9939228,-0.90329933,-5.2396603,-1.4555731,-2.222655,-4.62236,-3.084118,-2.8748214,-5.3204165,-2.0567992,buka
-219.93843,92.92692,18.967346,16.047266,10.433351,6.651598,17.583261,0.5344137,-2.744347,6.6263394,-4.544034,-1.8837012,-4.6242,-3.099111,-1.0049286,-0.33646396,-7.6182785,-2.3518286,-4.8831573,-2.1646562,buka
-225.04872,95.288025,27.487856,15.378497,11.095508,12.029109,18.962772,0.26637357,-0.48777974,3.1906905,-5.4870806,-1.4557433,-7.517882,-3.4110641,-1.1190261,-3.4913867,-7.289718,-3.4915915,-4.7984247,-2.5763795,buka
-265.96475,99.73099,17.473066,11.617316,8.261444,8.456746,12.720185,-0.4479137,-0.013441555,6.4938087,-5.0441785,-0.81865627,-7.2273016,-5.3830223,0.63947535,-3.0192406,-5.6542435,-2.5140479,-2.7548141,-3.6837695,buka
-274.93784,87.99147,21.93701,13.232484,8.476219,6.754949,14.451928,-2.2037275,-3.3322468,4.21215,-8.546368,-1.4016569,-7.312331,-5.5256524,0.62819177,-2.3814454,-9.576903,-0.86808085,-2.6884081,-2.3526776,buka
-251.37415,115.64155,12.600406,3.2145324,-1.5433298,-2.4772663,3.2461698,-8.130982,-2.7800965,2.8856578,-7.3831286,-0.2216522,-6.666773,-4.7973876,-4.8119397,-2.0519526,-6.669955,-5.0447974,-2.2961984,-0.1850338,buka
-260.7599,96.55982,15.97962,6.39639,11.0363035,6.8091583,13.192103,-4.488077,-0.34667948,7.255013,-5.8043637,-0.3404396,-3.1936924,-3.758489,-3.5788076,-1.389522,-6.2256117,-2.8348427,-4.6797833,-2.41828,buka
-255.86617,89.243515,22.762064,9.596029,10.927643,7.344412,11.334789,0.29224104,-1.258835,8.7238455,-2.3817914,-4.115844,-6.7452006,-4.9340034,-2.831174,-4.2663717,-6.6429577,-2.2240639,-5.1283274,-1.430989,buka
-269.37115,89.825554,15.188777,11.491985,12.376435,8.033537,10.274985,0.1802736,-1.0288675,8.079314,-5.404909,-4.6976614,-7.118792,-3.4914565,-1.305147,-3.1618738,-4.36838,-4.03965,-1.5095742,-3.1776352,buka
-281.2554,86.076675,32.686825,13.586292,13.991538,8.400675,9.205331,3.3380802,-0.13786668,4.991439,-8.610606,-5.0000787,-5.4810367,-3.2498055,-1.5539393,-0.16379456,-1.6437789,-2.02118,-3.784461,-2.422436,buka
-254.70883,94.574066,27.016554,14.20047,12.710247,10.406461,9.83758,3.1705248,1.4602618,6.262821,-8.459092,-5.88597,-6.5382247,-4.3014374,-1.2962339,0.24980211,-4.181642,-3.4101355,-4.6562448,-5.81191,buka
-273.2159,91.20021,24.205606,13.047427,10.531708,10.485915,14.231741,-1.8392105,-0.42834964,7.3366084,-5.670106,-1.7740741,-5.8158727,-5.7142825,-2.0419073,-3.9314811,-2.42302,-2.8152382,-2.6259515,-4.1933823,buka
-298.9995,80.18553,32.82002,17.09479,14.031806,8.821302,14.8206005,5.316262,0.67674434,3.6889658,-4.5696745,-2.863394,-1.7352467,-2.4795969,-0.9075316,-1.8389864,-0.9812506,-0.31952223,-5.057871,-2.6683757,buka
-257.23325,84.881805,30.643633,18.78467,11.822734,7.47148,14.087709,3.361089,-1.7366034,5.0626917,-3.8064535,-1.9756104,-4.9911566,-3.217624,-0.857488,-2.1339347,-1.6801474,-0.21262263,-3.8266425,-1.159409,buka
-213.87596,96.66105,26.89015,14.029435,12.070115,9.911567,14.076203,0.99784124,0.8414825,7.281807,-5.8653164,0.5864633,-5.1735644,-6.3081684,-2.5810814,-2.9156625,-1.4361196,-2.1355946,-4.724164,-1.6515732,buka
-177.80893,84.82088,23.91496,14.934006,9.667524,8.635697,14.037513,0.6864528,2.727474,1.9457877,-2.4654937,-0.002982675,-8.965085,-5.783968,-3.933254,-4.072271,-2.6219285,-0.0692254,-4.1009846,-1.8860373,buka
-238.9321,93.07976,21.238222,16.716812,10.051317,10.170378,10.785288,2.0080843,0.57110935,6.5304008,-7.1180544,-3.7773972,-6.1445265,-3.7808454,-2.5209808,-1.6597478,0.5951306,-2.5914986,-5.796218,-2.910543,buka
-194.64072,89.043495,22.3909,13.998698,14.93843,12.198108,13.555067,0.67205966,-0.40001935,5.1757283,-2.189046,0.9866685,-5.874598,-3.2751021,-2.7799137,-3.032878,0.52108216,-2.6479225,-4.7721453,-2.1645331,buka
-179.65207,96.29495,26.44544,16.093586,14.942622,11.750196,16.092142,-1.0773681,-1.920256,4.209168,-6.1799593,-0.18802366,-2.8155923,-3.4719229,-2.1265333,-3.9429054,1.3438395,-0.84182876,-3.0342445,-0.29872766,buka
-197.32529,95.444145,25.619198,10.135075,14.640022,11.490543,15.737357,-2.3179333,-1.6177429,6.574134,-7.465505,0.16438764,-4.301568,-4.085101,-3.6071718,-4.8990645,-0.13894174,-1.7973284,-4.5502877,0.97891134,buka
-196.24779,94.71938,23.441004,15.431723,11.696911,9.657907,17.57237,-2.1747656,-3.1857145,1.8225187,-5.4279227,3.74404,-5.1244597,-5.383678,-1.5113991,-3.6991944,-2.8077161,0.3153133,-3.177183,-1.1025888,buka
-192.3373,98.320305,16.335194,11.902785,13.324059,8.176474,20.504759,-1.8272576,-4.8410673,9.435033,-7.626118,-0.9359786,-4.79721,-4.2622857,-2.0961266,-5.393277,2.518577,-1.9228724,-5.582431,0.058567237,buka
-208.84515,86.05286,21.830187,12.489098,15.050575,9.768839,12.258498,0.51341945,-4.67941,8.560566,-2.6593099,-3.5437617,-4.133819,-1.4518285,-0.41284084,-3.5362961,-1.1902503,-2.0622807,-3.8814542,-1.5671389,buka
-192.0442,103.519295,18.439152,21.396,13.238337,7.0923915,13.53831,-2.4601755,-3.2407243,12.920742,-5.557576,0.5418575,-5.9578795,-4.378618,0.7048394,-2.4300632,0.67228425,1.7472829,-3.9567318,-1.6416085,buka
-189.98024,98.088356,15.559798,13.68565,6.476148,8.781786,20.20926,-5.954628,-1.5169408,5.5703464,-6.514416,-0.69759774,-8.991079,-4.678379,-3.3504286,-4.586894,-0.3461127,-0.91021776,-8.094829,-4.6766,buka
-196.2411,92.21053,23.637993,15.59463,13.997577,13.524557,12.495503,-1.0600369,-0.37002662,3.4735994,-6.5199323,-2.370837,-5.786792,-2.2236104,-1.8718832,-2.8119175,-0.39008245,-0.703381,-6.907723,-2.8145518,buka
-258.97806,91.89025,25.852625,13.036194,8.342131,8.285537,14.722303,2.5817714,-1.2756094,6.6024547,-6.8372526,-1.2691967,-8.985075,-8.163808,1.4481283,-5.2127404,-2.0490527,-3.6478534,0.1588077,-6.776991,buka
-228.68352,95.61694,35.087738,16.675505,13.821206,9.506301,10.265012,3.039636,-2.2055485,6.051511,-7.660302,-3.5751724,-9.188796,-7.4624653,-0.9540186,-3.709172,-3.3555076,-3.4461467,-3.2174318,-6.243106,buka
-210.48117,90.28362,22.746906,14.282684,8.492292,12.075658,9.847185,0.14579278,-0.60601443,7.312437,-4.5627413,-1.4930987,-5.63342,-5.926211,-2.032542,-4.6308923,-1.5319529,-4.2850018,-1.0470953,-4.4312983,buka
-204.44096,106.674385,24.246428,11.94664,7.3330526,10.240485,11.222451,2.356422,-1.0538354,7.0101504,-12.038698,-5.4309945,-7.7640486,-8.315846,-1.2755189,-3.62154,-2.5979755,-3.7510767,-2.900566,-4.1858544,buka
-287.92987,94.477135,28.441858,16.104563,12.227047,11.255912,9.174182,2.2801495,-0.6843171,6.7689514,-7.482915,-7.493278,-6.140191,-7.4455905,-0.40340748,-1.8196387,-2.6238782,-4.5666738,-2.4525063,-6.2507505,buka
-240.95944,93.44227,27.966722,17.606787,13.314923,10.783053,10.056689,0.9872818,2.4679992,6.1624975,-8.092125,-2.8052816,-4.860729,-8.503673,-2.2100966,-2.4676862,-3.1026235,-4.3387504,-2.21797,-4.2433968,buka
-243.51526,88.51288,25.089123,12.485905,16.448458,11.025952,14.925049,0.9456574,-1.0300126,2.8328798,-7.3759985,-0.79572636,-2.2480185,-4.5954685,2.418054,2.2659047,-4.6477437,-1.0159425,-1.9986994,-4.4837637,buka
-200.93185,91.56481,29.990658,14.72478,14.585164,8.152879,15.020242,3.216482,-2.926528,-0.47454458,-6.553795,0.4592815,-6.8997874,-2.9365976,1.9068224,-0.46425295,-7.668658,-0.7995518,-2.2377405,-4.507444,buka
-220.84862,90.12478,33.4156,13.628091,15.149681,12.556633,14.056594,4.5578046,-0.57399803,0.47882932,-7.816011,-2.271492,-5.171581,-1.0510705,0.8800062,-1.6397742,-4.495123,0.8725609,-5.706556,-1.8449868,buka
-200.67604,97.14454,22.550142,16.578175,12.959334,9.484904,15.566952,2.9637768,-1.3668078,2.5302098,-7.176504,-0.7013592,-2.37414,-2.304717,0.649403,-0.40555838,-4.1693335,0.28745082,-4.5218954,-4.06773,buka
-285.72824,96.45947,24.397102,17.494066,10.790747,7.9812717,12.144047,3.902727,-0.7158569,4.855055,-9.523872,-5.2760425,0.4302551,-7.20033,-4.1319737,0.8390447,-0.09338659,-3.9407697,-1.2107574,-3.2827375,buka
-299.69434,93.15471,27.349617,16.727356,14.949588,10.46848,13.5722,8.531781,-0.02964528,0.4412848,-7.637302,-3.0814545,1.4277331,-4.6382146,-2.9470165,2.005934,-3.9062788,-2.353918,-0.606682,-5.807724,buka
-233.23239,90.47531,29.546808,17.845242,11.113911,10.076368,12.145969,4.1384444,3.6368542,5.294876,-9.847809,-6.1561217,-2.2622666,-1.6256227,-5.429733,2.365848,1.9045955,-2.9282155,-1.5577278,-0.34580648,buka
-271.5594,94.248405,22.764582,16.041824,8.925542,9.793418,16.573498,4.193475,2.68814,7.3086414,-8.734209,-9.574662,-5.243479,-4.1733384,-4.2318053,-0.9851498,1.6733323,-4.229676,-1.2793823,-4.8015394,buka
-237.66513,84.72386,24.738935,12.274195,16.427544,9.022214,12.776104,2.028334,0.9282533,5.618355,-4.6050186,-3.6165342,-2.5774515,-1.7933068,-4.6351204,-1.7286068,-0.13655701,-3.395852,-2.6523085,-0.54570204,buka
-246.43654,91.533676,24.948017,11.060048,13.220459,11.736676,13.686127,5.280847,2.440549,4.2445526,-4.6464486,-2.9238203,-1.3007789,-3.2659874,-5.2671914,-1.182407,1.9397724,-2.85606,-2.7771068,-2.33182,buka
-237.82681,92.41835,28.41775,13.412124,15.31618,8.547787,9.976201,7.9744697,-2.5825684,3.6526453,-13.203089,-8.755398,3.3162165,-9.360977,-5.225689,1.2963277,3.5645144,-4.689064,-0.4009697,-3.5067117,buka
-257.4564,86.54068,34.526108,16.367222,15.187702,10.109435,11.068563,5.404637,2.5542612,2.7290046,-4.460231,-2.903923,-0.58177614,-1.0113626,-1.2431371,0.9931874,0.34420648,-0.6583272,-3.824778,-2.3764904,buka
-260.5994,92.588135,25.367266,11.217574,13.046774,8.440151,11.531907,6.373616,-0.21110786,4.7782564,-8.575702,-6.021137,-1.4564799,-5.3884473,-2.9432979,2.387351,2.2790785,-0.8115196,-1.1942171,-3.5926242,buka
-242.54181,90.60595,42.34056,24.498386,15.456514,8.693428,9.609979,8.429995,1.1370608,3.5912879,-7.1184983,-9.264752,-4.497035,-6.5877194,-1.0948322,1.5335311,1.6543773,1.5830497,-1.612125,-3.8862643,buka
-250.75969,89.81179,37.125175,18.524948,13.256658,4.9794908,10.484107,6.8221908,0.25741947,4.6163387,-8.799369,-8.0657835,-0.6251038,-3.9874713,-1.6964481,4.162632,1.3902748,-2.735088,-1.8737471,-3.861072,buka
-246.67773,91.34794,29.882446,15.409446,13.3360815,9.466369,9.247967,8.057955,-1.8481603,4.415842,-8.613199,-8.195348,1.1037445,-7.913205,-4.2627664,2.734208,1.9291754,-4.139416,1.3809142,-3.2383873,buka
-227.83539,89.10884,30.506466,16.111408,13.523471,3.8262994,12.867848,3.8776278,-5.422309,8.298117,-12.215256,-7.213185,-3.5403862,-5.0492244,-0.89337087,0.75345033,-0.48658264,0.9058673,-4.0916944,-0.61202335,buka
-226.70026,88.51267,44.89403,21.17144,15.757628,9.169256,10.293373,6.9062705,-0.82812923,2.6909382,-6.809367,-7.1072845,-3.4412456,-4.473538,-1.2081263,1.0370812,-0.98559326,2.0132005,-1.407724,-2.0959442,buka
-204.50705,94.97385,28.203913,11.021094,10.798821,10.93787,15.748658,1.3276736,2.1008158,4.739121,-6.2104807,-5.44925,-2.5820897,-2.8550525,-3.6563146,-1.3213216,2.219766,-0.9320468,-2.4485915,-0.25301695,buka
-258.7724,92.45923,30.145744,16.354242,13.045216,7.929724,9.971646,4.9834933,-1.4219074,4.1336,-11.156435,-8.543864,-0.98076224,-5.7552295,-3.9746065,1.063137,0.39442727,-4.968508,-0.22002959,-5.2310467,buka
